5 5
0, 6, 12, 0, 2, 0, 16, 3, 0, 0, 11, 0, 0, 0, 1, 0, 8, 23, 0, 25, 0, 17, 0, 0, 0, 
0, 0, 0, 22, 19, 0, 0, 23, 0, 7, 10, 18, 0, 0, 0, 0, 1, 5, 0, 6, 11, 0, 0, 20, 0, 
16, 1, 0, 0, 0, 24, 0, 13, 2, 14, 0, 6, 0, 21, 0, 4, 12, 0, 0, 0, 0, 5, 25, 0, 19, 
0, 17, 0, 4, 0, 8, 0, 0, 0, 5, 12, 23, 0, 19, 14, 24, 18, 0, 0, 0, 0, 2, 0, 0, 0, 
0, 24, 7, 5, 14, 0, 12, 0, 0, 0, 0, 0, 0, 20, 8, 0, 0, 21, 0, 2, 6, 0, 0, 0, 1, 
19, 0, 18, 25, 0, 2, 4, 14, 10, 20, 0, 0, 0, 0, 16, 8, 13, 7, 17, 0, 0, 0, 3, 1, 0, 
1, 22, 0, 0, 10, 0, 21, 0, 0, 0, 14, 2, 0, 0, 0, 23, 20, 15, 5, 18, 0, 0, 0, 0, 0, 
4, 14, 9, 0, 11, 0, 25, 0, 0, 0, 19, 0, 0, 13, 21, 0, 0, 6, 0, 0, 0, 0, 7, 10, 18, 
17, 7, 0, 16, 0, 0, 0, 0, 9, 0, 0, 15, 5, 0, 0, 0, 0, 1, 14, 24, 0, 0, 0, 0, 0, 
23, 2, 5, 20, 13, 0, 0, 17, 0, 0, 24, 25, 0, 0, 0, 3, 0, 0, 10, 0, 0, 0, 8, 0, 0, 
25, 0, 0, 24, 0, 3, 17, 0, 0, 0, 9, 1, 10, 12, 0, 0, 21, 0, 0, 8, 0, 15, 0, 13, 0, 
0, 20, 17, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 5, 6, 11, 25, 0, 24, 10, 12, 0, 0, 9, 2, 
7, 5, 0, 0, 0, 10, 11, 0, 13, 9, 0, 0, 0, 0, 0, 16, 17, 0, 23, 22, 0, 0, 0, 24, 6, 
9, 12, 0, 0, 6, 25, 19, 0, 22, 24, 13, 16, 8, 11, 0, 0, 0, 0, 0, 0, 0, 0, 20, 17, 0, 
0, 8, 0, 13, 0, 7, 0, 0, 12, 0, 0, 22, 23, 14, 24, 0, 0, 0, 18, 15, 0, 3, 0, 0, 21, 
0, 0, 4, 0, 0, 0, 7, 0, 0, 17, 0, 0, 0, 2, 10, 0, 0, 20, 0, 0, 16, 13, 9, 18, 14, 
0, 0, 0, 0, 0, 14, 3, 18, 0, 0, 0, 0, 11, 6, 0, 0, 15, 0, 0, 0, 0, 23, 0, 12, 7, 
12, 19, 14, 0, 0, 0, 0, 1, 0, 0, 20, 9, 0, 0, 13, 0, 0, 0, 3, 0, 15, 0, 4, 2, 22, 
0, 0, 0, 0, 0, 12, 13, 20, 23, 10, 0, 0, 0, 4, 3, 0, 0, 0, 25, 0, 1, 0, 0, 5, 8, 
0, 18, 2, 0, 0, 0, 15, 22, 19, 16, 1, 0, 0, 0, 0, 7, 23, 10, 4, 17, 0, 20, 6, 0, 25, 
24, 0, 0, 0, 1, 11, 0, 12, 0, 0, 6, 10, 0, 0, 0, 0, 0, 0, 22, 0, 7, 8, 17, 21, 0, 
0, 0, 0, 6, 0, 0, 0, 0, 14, 4, 5, 11, 0, 3, 23, 21, 0, 0, 0, 12, 0, 1, 0, 22, 0, 
22, 0, 25, 21, 0, 0, 0, 0, 20, 13, 0, 8, 0, 24, 0, 15, 6, 11, 0, 3, 0, 0, 0, 23, 16, 
0, 10, 0, 0, 23, 5, 0, 9, 3, 0, 0, 0, 0, 17, 19, 1, 0, 18, 0, 0, 4, 25, 0, 0, 0, 
0, 0, 0, 12, 0, 1, 0, 16, 21, 0, 7, 0, 0, 0, 4, 0, 0, 17, 20, 0, 5, 0, 19, 6, 0, 
